RA;Primeiro Nome;Sobrenome;Idade;Curso;Genero;Periodo
63227467787;Aaron;PHILLIPS;31;Engeharia de Software;Masculino;Matutino
55774275097;Abigail;SOTO;20;Ciência da Computação;Feminino;Matutino
76059134116;Adam;PARKER;19;Engeharia de Software;Masculino;Matutino
64295541703;Agatha;Oliveira;45;Sistema da Informação;Intersexo;Matutino
71033266097;Alan;JAMES;39;Banco de dados;Masculino;Matutino
94355846566;Albert;COX;25;Engeharia de Software;Masculino;Matutino
80830562656;Alexander;CAMPBELL;51;Ciência da Computação;Masculino;Matutino
76852042511;Alexis;DUNN;22;Ciência da Computação;Feminino;Matutino
91522109945;Alice;WAGNER;65;Engenharia da Computação;Feminino;Matutino
71863649027;Alice;Gonçalves;65;TADS;Feminino;Matutino
82373740270;Alícia;Cardoso.;39;Sistema da Informação;Feminino;Matutino
57200402542;Amanda;WALLACE;35;Ciência da Computação;Feminino;Matutino
60126099851;Amanda;Melo;21;Sistema da Informação;Feminino;Matutino
97496463855;Amber;NICHOLS;59;Ciência da Computação;Feminino;Matutino
68646765054;Amy;MEDINA;37;Engeharia de Software;Feminino;Matutino
99843755621;Ana Beatriz;Gonçalves;33;Ciência da Computação;Feminino;Matutino
72053544514;Ana Clara;Teixeira;52;Sistema da Informação;Feminino;Matutino
63210991357;Ana Julia;da Cruz;63;Jogos digitais;Feminino;Matutino
68082779370;Ana Luiza;da Mata;20;Jogos digitais;Intersexo;Matutino
84414508263;Andrea;MUNOZ;33;Engenharia da Computação;Feminino;Matutino
88706391022;Andrew;JACKSON;33;Jogos digitais;Masculino;Matutino
56156691826;Angela;STEVENS;31;Engeharia de Software;Feminino;Matutino
84252161084;Ann;HOLMES;63;Engenharia da Computação;Intersexo;Matutino
73823696006;Anna;MURRAY;46;Engeharia de Software;Feminino;Matutino
59249490017;Anthony;WILSON;38;Ciência da Computação;Masculino;Matutino
73891810505;Antônio;da Costa;52;Ciência da Computação;Masculino;Matutino
61441849541;Arthur;Castro;23;Ciência da Computação;Masculino;Matutino
73782019520;Arthur;MORGAN;53;Engenharia da Computação;Masculino;Matutino
97849217948;Ashley;PATTERSON;53;Ciência da Computação;Feminino;Matutino
84177767225;Austin;KELLY;21;Engeharia de Software;Masculino;Matutino
98294834305;Barbara;BELL;47;Engeharia de Software;Feminino;Matutino
71047234172;Beatriz;Pires;44;Ciência da Computação;Feminino;Matutino
82131935084;Benjamin;ADAMS;18;Ciência da Computação;Masculino;Matutino
96097690587;Benjamin;Pereira;24;TADS;Masculino;Matutino
73911690845;Bernardo;Silva;62;Ciência da Computação;Masculino;Matutino
96446798045;Betty;SIMMONS;33;Banco de dados;Feminino;Matutino
94220360149;Beverly;GARZA;57;Engenharia da Computação;Feminino;Matutino
61668710511;Bianca;Lopes;40;Ciência da Computação;Feminino;Matutino
90556999713;Billy;RICHARDSON;37;Engeharia de Software;Masculino;Matutino
55798993528;Bobby;ROSS;46;Banco de dados;Masculino;Matutino
98437267044;Bradley;JIMENEZ;59;Engeharia de Software;Masculino;Matutino
89793773870;Brandon;FLORES;38;Ciência da Computação;Masculino;Matutino
82100280473;Brenda;FORD;52;Banco de dados;Feminino;Matutino
76505149113;Brian;WHITE;18;Jogos digitais;Masculino;Matutino
79176696752;Brittany;WEAVER;65;Ciência da Computação;Feminino;Matutino
65353394077;Bruce;WATSON;47;Engeharia de Software;Masculino;Matutino
77075884375;Bruno;da Mata;58;Ciência da Computação;Masculino;Matutino
81226486449;Bryan;WARD;50;Engeharia de Software;Masculino;Matutino
